芦屋海水浴場,〒807-0111,福岡県遠賀郡芦屋町大字芦屋
レジャープール アクアシアン,〒807-0133,福岡県遠賀郡芦屋町大字芦屋1455番地284
芦屋海浜公園,〒807-0133,福岡県遠賀郡芦屋町大字芦屋１４５５番地２８４
岡湊神社,〒807-0121,福岡県遠賀郡芦屋町船頭町１２番４８号
はまゆう群生地,〒807-0101,福岡県遠賀郡芦屋町大字山鹿
大島,〒811-3701,福岡県宗像市大島
宗像大社神宝館,〒811-3505,福岡県宗像市田島2331
さつき松原海岸,〒811-3401,福岡県宗像市
宮地嶽神社民家村,〒811-3305,福岡県福津市宮司元町7-1
白石浜海水浴場,〒811-3307,福岡県福津市渡
宮地浜海水浴場,〒811-3304,福岡県福津市宮司浜
宮地嶽自然歩道,〒811-3200,福岡県福津市宮司
新原奴山古墳群,〒811-3522,福岡県福津市奴山・勝浦
恋の浦海岸,〒811-3307,福岡県福津市渡
白石浜,〒811-3307,福岡県福津市渡
福間海水浴場,〒811-3216,福岡県福津市西福間
本木川自然公園ほたるの里,〒811-3203,福岡県福津市本木
粕屋フォーラム,〒811-2304,福岡県糟屋郡粕屋町若宮一丁目１-１
久山カントリー倶楽部,〒811-2501,福岡県糟屋郡久山町久原3549
伊野天照皇太神宮,〒811-2503,福岡県糟屋郡久山町猪野604
相島,〒811-0118,福岡県糟屋郡新宮町大字相島
須恵町立皿山公園,〒811-2114,福岡県糟屋郡須惠町大字上須恵
若杉楽園キャンプ場,〒811-2411,福岡県糟屋郡篠栗町大字若杉
メロディー橋,〒811-2405,福岡県糟屋郡篠栗町城戸
南蔵院,〒811-2405,福岡県糟屋郡篠栗町大字篠栗1035番地
五塔ノ滝,〒811-2402,福岡県糟屋郡篠栗町大字金出
米ノ山,〒811-2411,福岡県糟屋郡篠栗町大字若杉
篠栗町協会,〒811-2413,福岡県糟屋郡篠栗町大字尾仲43-7
四王寺県民の森,〒811-2105,福岡県糟屋郡宇美町大字四王寺
大野城跡,〒811-2105,福岡県糟屋郡宇美町大字四王寺／大野城市／太宰府市
中ノ島公園,〒811-1233,福岡県筑紫郡那珂川町大字市ノ瀬445-1
フォレストアドベンチャー・糸島,〒819-1622,福岡県糸島市二丈一貴山312-390(樋の口ハイランド内)
清水山の紅葉,〒835-0003,福岡県みやま市瀬高町本吉
にじの耳納の里,〒839-1332,福岡県うきは市吉井町福益130-1
伊都国歴史博物館,〒819-1582,福岡県糸島市井原916
ザ・クイーンズヒルゴルフクラブ,〒819-1133,福岡県糸島市富838
笹山公園,〒819-1113,福岡県糸島市前原駅南2丁目
梅園,〒818-0117,福岡県太宰府市宰府２-６-１６
観世音寺宝蔵庫,〒818-0101,福岡県太宰府市観世音寺5-6-1
太宰府天満宮宝物殿,〒818-0195,福岡県太宰府市太宰府天満宮
太宰府市文化ふれあい館,〒818-0132,福岡県太宰府市国分4-9-1
水城跡,〒818-0138,福岡県太宰府市吉松・（大野城市）
岩屋城跡の桜,〒818-0101,福岡県太宰府市四王寺林道沿
宝満山,〒818-0101,福岡県太宰府市/筑紫野市/宇美町
グローバルアリーナ,〒811-4153,福岡県宗像市吉留４６-１
八所宮,〒811-4153,福岡県宗像市吉留3186
山田地蔵尊増福院,〒811-3411,福岡県宗像市山田７００番地
新立山,〒811-3401,福岡県宗像市（宮若市）
城山,〒811-3401,福岡県宗像市（岡垣町）
筑紫野カントリークラブ,〒818-0003,福岡県筑紫野市大字山家2014-22
皐月ゴルフ倶楽部 天拝コース,〒818-0046,福岡県筑紫野市大字山口1300
セントラル福岡ゴルフ倶楽部,〒818-0003,福岡県筑紫野市大字山家上西山
竜岩自然の家,〒818-0001,福岡県筑紫野市大字柚須原373番地1
筑紫野市総合公園,〒818-0046,福岡県筑紫野市山口382-6
武蔵寺の藤,〒818-0052,福岡県筑紫野市大字武蔵621
野田宇太郎文学資料館,〒838-0142,福岡県小郡市大板井136-1
小郡カンツリー倶楽部,〒838-0106,福岡県小郡市三沢1788
小郡運動公園,〒838-0115,福岡県小郡市大保427-1
如意輪寺（かえる寺）,〒838-0105,福岡県小郡市横隈1729
小郡官衙遺跡,〒838-0141,福岡県小郡市小郡
遊の里 畑冷泉館,〒828-0005,福岡県豊前市大字畑708-２
蓑島海水浴場,〒824-0011,福岡県行橋市蓑島
蓑島・長井浜,〒824-0001,福岡県行橋市
べんがら村,〒834-0032,福岡県八女市大字宮野100番地
岩戸山歴史資料館,〒834-0006,福岡県八女市吉田1396-1
八女福島の町並み,〒834-0031,福岡県八女市本町
甘木水の文化村,〒838-0021,福岡県朝倉市矢野竹831
共星の里,〒838-0072,福岡県朝倉市黒川５４６-１（旧黒川小学校）
須賀神社,〒838-0068,福岡県朝倉市甘木873-5
平塚川添遺跡,〒838-0059,福岡県朝倉市大字平塚444-4
黒門,〒838-0011,福岡県朝倉市秋月野鳥
目鏡橋,〒838-0001,福岡県朝倉市秋月
安長寺の大樟,〒838-0068,福岡県朝倉市甘木772
柳川温泉輝泉荘,〒832-0806,福岡県柳川市三橋町柳河８７４
柳川城阯,〒832-0061,福岡県柳川市本城町
旧立花家別邸（御花）,〒832-0069,福岡県柳川市新外町1番地
田川市石炭・歴史博物館,〒825-0002,福岡県田川市大字伊田2734番地1 石炭記念公園内
直方市石炭記念館,〒822-0016,福岡県直方市直方御館山692-4
西日本カントリークラブ 直方コース,〒822-0011,福岡県直方市大字中泉字池代1356-2
直方オートキャンプ場,〒822-8501,福岡県直方市新町地芝
竜王峡キャンプ場,〒822-0003,福岡県直方市上頓野本谷
福智山ろく花公園,〒822-0005,福岡県直方市大字永満寺字百合原1498
多賀神社,〒822-0016,福岡県直方市直方御館山
竜王峡,〒822-0001,福岡県直方市
筑後川防災施設「くるめウス」,〒839-0865,福岡県久留米市新合川1-1-3（百年公園東側）
農園ブルーベリーの村,〒830-1113,福岡県久留米市北野町中2444
ブリジストン通り,,福岡県久留米市
久留米森林つつじ公園,〒839-0851,福岡県久留米市御井町299-354
水天宮,,福岡県久留米市瀬下町265
善導寺,〒839-0824,福岡県久留米市善導寺町飯田550
千光寺,〒839-0827,福岡県久留米市山本町豊田2287
発心公園の桜,〒839-0835,福岡県久留米市草野町草野664-1
柳坂曽根のハゼ並木,〒839-0827,福岡県久留米市山本町豊田2287
高良山の孟宗金明竹,〒839-0851,福岡県久留米市御井町
千光寺の紫陽花,〒839-0201,福岡県久留米市山本町
西新リヤカー部隊,〒814-0002,福岡県福岡市早良区西新
油山市民の森キャンプ場,〒811-1355,福岡県福岡市南区桧原夫婦石
片江展望台,〒814-0101,福岡県福岡市城南区油山
福岡歴史の町,〒819-0375,福岡県福岡市西区徳永
大原海水浴場,〒819-0165,福岡県福岡市西区今津大原
福岡市立ヨットハーバー,〒819-0001,福岡県福岡市西区小戸
アイランドパークのコスモス,〒819-0012,福岡県福岡市西区能古1624
長垂の含紅雲母（ペグマタイト岩脈）,〒819-0001,福岡県福岡市西区
生の松原（長垂海岸）,〒819-0001,福岡県福岡市西区
今津海岸（長浜海岸）,〒819-0001,福岡県福岡市西区
博多温泉,〒816-1111,福岡県福岡市南区
油山市民の森,〒811-1355,福岡県福岡市南区桧原夫婦石855-4
九州エネルギー館,〒810-0022,福岡県福岡市中央区薬院4-13-55
浄水通り,〒810-0022,福岡県福岡市中央区薬院
柳橋連合市場,〒810-0003,福岡県福岡市中央区春吉1-5-1
西公園,〒810-0061,福岡県福岡市中央区西公園
旧福岡県公会堂貴賓館,〒810-0002,福岡県福岡市中央区西中洲6-29
光雲神社,〒810-0061,福岡県福岡市中央区西公園13-1
福岡市動植物園展望台,〒810-0037,福岡県福岡市中央区南公園1-1
パピオアイスアリーナ,〒812-0044,福岡県福岡市博多区千代1-15-30
日蓮上人銅像,〒812-0045,福岡県福岡市博多区東公園内
聖福寺,〒812-0037,福岡県福岡市博多区御供所町6-1
承天寺,〒812-0011,福岡県福岡市博多区博多駅前1-29-9
筥崎宮あじさい苑,〒812-0053,福岡県福岡市東区箱崎1-22-1
勝馬海水浴場,〒811-0325,福岡県福岡市東区大字勝馬
志賀島海水浴場,〒811-0323,福岡県福岡市東区志賀島
スポーツガーデン香椎,〒813-0044,福岡県福岡市東区千早3-6-37
潮見公園,〒811-0323,福岡県福岡市東区志賀島
潮見公園展望台,〒811-0323,福岡県福岡市東区志賀島
名島檣石,〒813-0001,福岡県福岡市東区
赤坂けやき通り,〒810-0001,福岡県福岡市中央区
松尾芭蕉句碑,〒807-1124,福岡県北九州市八幡西区大字畑畑観音境内
吉祥寺,〒807-1114,福岡県北九州市八幡西区吉祥寺町13-11
吉祥寺の藤,〒807-1114,福岡県北九州市八幡西区吉祥寺13-11
河内貯水池の桜,〒805-0048,福岡県北九州市八幡東区大字大蔵
北九州市河内藤園,〒805-0045,福岡県北九州市八幡東区河内
目白鍾乳洞,〒802-0001,福岡県北九州市小倉南区
牡鹿鍾乳洞,〒802-0001,福岡県北九州市小倉南区
千仏鍾乳洞,〒802-0001,福岡県北九州市小倉南区
日明・海峡釣り公園,〒803-0801,福岡県北九州市小倉北区西港町地内
北九州市漫画ミュージアム,〒802-0001,福岡県北九州市小倉北区浅野二丁目１４-５ あるあるCity５、６階
北九州市協会,〒802-0001,福岡県北九州市小倉北区浅野3-9-30
旧松本家住宅（西日本工業倶楽部）,〒804-0021,福岡県北九州市戸畑区一枝1-4-33
ひびき動物ワールド,〒808-0121,福岡県北九州市若松区大字竹並
火野葦平資料館,〒808-0034,福岡県北九州市若松区本町（若松市民会館内）
岩屋海水浴場,〒808-0001,福岡県北九州市若松区岩屋
大北亭,〒808-0001,福岡県北九州市若松区響灘緑地内
海岸通り,〒808-0034,福岡県北九州市若松区本町１
高塔山,〒808-0053,福岡県北九州市若松区大字修多羅
遠見ケ鼻,〒808-0123,福岡県北九州市若松区大字有毛岩屋海岸
菅生の滝,〒803-0266,福岡県北九州市小倉南区大字道原
畑貯水池,〒807-1124,福岡県北九州市八幡西区大字畑
蒲生八幡神社,〒802-0978,福岡県北九州市小倉南区蒲生５-６
広寿山福聚寺,〒802-0025,福岡県北九州市小倉北区寿山町６-７
遠賀川,〒822-0001,福岡県直方市
金山渓谷,〒811-1132,福岡県福岡市早良区石釜
蒙古塚,〒811-0323,福岡県福岡市東区志賀島
志賀海神社,〒811-0323,福岡県福岡市東区志賀島877
部埼灯台,〒801-0802,福岡県北九州市門司区大字白野江
脇田温泉周辺,〒822-0133,福岡県宮若市脇田
本木川自然公園 ほたるの里,〒811-3203,福岡県福津市本木1957-1
ほたると石橋の館周辺,〒834-1102,福岡県八女市上陽町北川内589-2
日陽ほたるの里,〒823-0011,福岡県宮若市宮田
長瀬公園、松尾川、辺春川,〒834-0083,福岡県八女市立花町上辺春
源じいの森温泉,〒824-0431,福岡県田川郡赤村大字赤5251-3
上頓野（とんの）地区・畑地区,〒822-0003,福岡県直方市
上有木公民館周辺,〒823-0015,福岡県宮若市上有木
うきは市浮羽町小塩地区,〒839-1412,福岡県うきは市浮羽町小塩
福岡県立総合射撃場,〒818-0001,筑紫野市大字柚須原 223-25
福岡交通株式会社,〒812-0051,福岡市東区箱崎ふ頭5丁目9-36
曲里の松並木,〒806-0034,福岡県北九州市八幡西区岸の浦二丁目６番
FUZZ,〒810-0004,福岡県福岡市中央区渡辺通1-8-31 アーバン渡辺通2階
二日市温泉 バーデンハウス,〒818-0058,福岡県筑紫野市湯町1-14-3
民宿こうしん,〒811-3501,福岡県宗像市神湊535-7
エンジェル スウィート,〒810-0001,福岡県福岡市中央区天神2-3-7 天神Nビル4階
Sa＊kura,〒810-0042,福岡県福岡市中央区赤坂1-2-1 シャンボール赤坂1階
Seato,〒810-0041,福岡県福岡市中央区大名2-2-1 ワコービル1階
VIA BUS STOP,〒812-0027,福岡県福岡市博多区下川端町3-1 博多リバレイン内
setlfe.com,〒812-0018,福岡県福岡市博多区住吉1-2-22 キャナルシティ博多
TONY SILVER,〒810-0065,福岡県福岡市中央区地行浜2-2-1 ホークスタウン内
PAL All STARS,〒819-0001,福岡県福岡市西区小戸2-13-16 マリノアシティ福岡
仲西眼鏡店 OUT LET,〒819-0001,福岡県福岡市西区小戸2-13-16 マリノアシティ福岡
博多ケントス,〒810-0801,福岡県福岡市博多区中洲5-2-3 松居壱番館3階
遠賀・宗像自転車道路,〒811-4202,福岡県遠賀郡岡垣町原
波懸遊歩道,〒807-0141,福岡県遠賀郡芦屋町山鹿
芦屋町歴史民俗資料館,〒807-0141,福岡県遠賀郡芦屋町大字山鹿1200
明神ヶ辻山自然公園,〒807-0031,福岡県遠賀郡水巻町杁1-648
水巻遠賀川緑地,〒807-0001,福岡県遠賀郡水巻町猪熊10地先〜二西4地先
もちだんご村,〒822-0007,福岡県直方市下境2400
ギャラリーのぐち,〒822-0017,福岡県直方市殿町15-16
豊前国分寺三重塔,〒824-0123,福岡県京都郡豊津町大字国分304
青龍窟,〒800-0336,福岡県京都郡苅田町大字山口字青龍
松山城跡,〒800-0303,福岡県京都郡苅田町大字松山
宮地嶽民家村自然広苑,〒811-3305,福岡県宗像郡津屋崎町宮司
アクシス玄海物産館,〒811-3504,福岡県宗像市深田588
唐津街道 赤間宿,〒811-4146,福岡県宗像市赤間
マルティグラス,〒811-3305,福岡県宗像郡津屋崎町大字宮司321
筑前津屋崎人形工房,〒811-3304,福岡県宗像郡津屋崎町津屋崎786
雷山陶秀窯,〒819-1145,福岡県前原市雷山657
みゆきの湯,〒818-0025,福岡県筑紫野市大字筑紫973-53
明代宝船 鄭和,〒812-0021,福岡県福岡市博多区築港本町13-6
海峡プラザ 赤煉瓦ガラス美術館,〒801-0852,福岡県北九州市門司区港町5-1
門司港キャブ,〒801-0863,福岡県北九州市門司区栄町10-24
浮雲,〒801-0852,福岡県北九州市門司区港町6-5 2階
旅館 福龍荘,〒838-1521,福岡県朝倉郡杷木町志波21
海中ライン,〒814-0001,福岡県福岡市早良区百道浜2-902-1地先 マリゾン内
さわ弥土工房,〒819-1304,福岡県糸島郡志摩町大字桜井4263
恵水窯（けいすいがま）,〒819-1303,福岡県糸島郡志摩町野北4162-2
桜窯,〒819-1304,福岡県糸島郡志摩町大字桜井819
木の家具工房 西,〒819-1305,福岡県糸島郡志摩町大字馬場195
グリーンゲイブルズ門司港レトロ店,〒801-0852,福岡県北九州市門司区港町5-1 門司港レトロ海峡プラザ内
スペースクルーズ,〒801-0841,福岡県北九州市門司区西海岸1-4-19
秋月焼橘窯・ギャラリーくぐり戸,〒838-0001,福岡県甘木市秋月町石原937-1
祐徳園石庭,〒838-0001,福岡県甘木市秋月町下秋月1058
我楽堂,〒832-0067,福岡県柳川市鬼童町1-5
新宮温泉,〒811-0111,福岡県粕屋郡新宮町三代762
里武家屋敷跡,〒816-1192,鹿児島県薩摩川内市里町里
黒島天主堂,〒827-3271,長崎県佐世保市黒島町3333
雷山,〒819-1145,佐賀県佐賀市
鬼の雁木の滝,〒829-0125,福岡県築上郡築上町寒田
こうげ 武楽里,〒871-0923,福岡県築上郡上毛町下唐原1625
岩屋の滝,〒871-0927,福岡県築上郡上毛町東上
ほたるの里,〒871-0928,福岡県築上郡上毛町西友枝・東上
さわやか市大平,,福岡県築上郡上毛町下唐原1621番地
九州自然歩道,〒871-0900,福岡県築上郡上毛町
穴ケ葉山古墳,〒871-0923,福岡県築上郡上毛町大字下唐原
友枝瓦窯跡,〒871-0921,福岡県築上郡上毛町大字土佐井
げんきの杜,〒871-0903,福岡県築上郡上毛町大字八ッ並143番地1
牛頭天王公園,〒871-0913,福岡県築上郡上毛町大字垂水646-2
牧の原キャンプ場,〒829-0125,福岡県築上郡築上町寒田２００５-２
正光寺,〒829-0122,福岡県築上郡築上町伝法寺1357
城井ノ上城址,〒829-0125,福岡県築上郡築上町寒田
本庄の大楠,〒829-0123,福岡県築上郡築上町本庄
鈴熊山公園,〒871-0832,福岡県築上郡吉富町大字鈴熊
天仲寺公園,〒871-0811,福岡県築上郡吉富町大字広津
鈴熊寺,〒871-0832,福岡県築上郡吉富町鈴熊
八幡古表神社,〒871-0821,福岡県築上郡吉富町小犬丸353-1
吉富海岸,〒871-0801,福岡県築上郡吉富町
山国川,〒871-0801,福岡県築上郡吉富町
浜の宮海岸潮干狩,〒829-0331,福岡県築上郡築上町高塚
周防灘カントリークラブ,〒829-0314,福岡県築上郡築上町大字上ノ河内
龍城院キャンプ場,〒829-0305,福岡県築上郡築上町大字真如寺1-1ほか
桜土手,〒829-0301,福岡県築上郡築上町椎田
築上町アグリパーク（農業公園）,〒829-0311,福岡県築上郡築上町湊1292
金富神社,〒829-0311,福岡県築上郡築上町大字湊392-2
綱敷天満宮,〒829-0331,福岡県築上郡築上町高塚794-2
豊津町物産直売所「国府の郷」,〒824-0125,福岡県京都郡みやこ町国作464-1
みやこ町歴史民俗資料館,〒824-0121,福岡県京都郡みやこ町豊津1122-13
いちご狩り,〒824-0121,福岡県京都郡みやこ町二月谷
京都カントリー倶楽部,〒824-0115,福岡県京都郡みやこ町光富字大谷95-1
育徳館跡,〒824-0121,福岡県京都郡みやこ町豊津973
郡長正の墓,〒824-0121,福岡県京都郡みやこ町甲塚
豊前国府跡公園,〒824-0125,福岡県京都郡みやこ町国作450-1
小笠原神社,〒824-0121,福岡県京都郡みやこ町大字豊津1115
甲塚方墳,〒824-0125,福岡県京都郡みやこ町
豊前国分寺跡,〒824-0123,福岡県京都郡みやこ町
豊前国分尼寺跡,〒824-0105,福岡県京都郡みやこ町徳政
豊前国府跡,〒824-0125,福岡県京都郡みやこ町国作
思永館講堂,〒824-0121,福岡県京都郡みやこ町豊津973
錦町,〒824-0121,福岡県京都郡みやこ町豊津
九州自然歩道仲哀コース,〒824-0800,福岡県京都郡みやこ町
勝山御所カントリークラブ,〒824-0801,福岡県京都郡みやこ町勝山大久保
仲哀公園,〒824-0821,福岡県京都郡みやこ町勝山松田
橘塚古墳,〒824-0822,福岡県京都郡みやこ町勝山黒田
胸の観音,〒824-0822,福岡県京都郡みやこ町勝山黒田
綾塚古墳,〒824-0822,福岡県京都郡みやこ町勝山黒田
本庄池自然歩道,〒824-0800,福岡県京都郡みやこ町
旧永沼家住宅,〒824-0253,福岡県京都郡みやこ町犀川帆柱
野峠のシャクナゲ,〒824-0800,福岡県京都郡みやこ町
蛇渕の滝,〒824-0253,福岡県京都郡みやこ町犀川帆柱
馬ケ岳,〒824-0045,福岡県京都郡みやこ町
苅田町歴史資料館,〒800-0392,福岡県京都郡苅田町富久町1丁目19番地1
宇原神社,〒800-0362,福岡県京都郡苅田町大字馬場410
内尾薬師,〒800-0362,福岡県京都郡苅田町大字馬場
石塚山古墳,〒800-0352,福岡県京都郡苅田町富久町（苅田町役場横）
御所山古墳,〒800-0323,福岡県京都郡苅田町大字与原
上野の里ふれあい市,〒822-1102,福岡県田川郡福智町上野2811番地１
九州日立マクセル赤煉瓦記念館,〒822-1211,福岡県田川郡福智町伊方
今川公園キャンプ場,〒824-0431,福岡県田川郡赤村下赤
赤村自然学習村・源じいの森キャンプ場,〒824-0431,福岡県田川郡赤村大字赤6933-1
十津川渓谷,〒824-0431,福岡県田川郡赤村上赤
内田三連橋梁（みつあんきょ）,〒824-0432,福岡県田川郡赤村大字内田1804-1
サボテンハウス,〒824-0512,福岡県田川郡大任町大字大行事3090
大任町総合運動公園,〒824-0511,福岡県田川郡大任町大字今任原139
出雲神社,〒824-0511,福岡県田川郡大任町向田
建徳寺古墳公園,〒824-0511,福岡県田川郡大任町大字今原1670
定禅寺の藤,〒822-1212,福岡県田川郡福智町弁城3624
虎尾桜,〒822-1101,福岡県田川郡福智町上野
上野峡,〒822-1102,福岡県田川郡福智町上野
戸谷自然ふれあいの森キャンプ場,〒827-0001,福岡県田川郡川崎町大字安真木200
藤江氏魚楽園,〒827-0001,福岡県田川郡川崎町大字安真木６３８８
淡島神社,〒827-0001,福岡県田川郡川崎町黒木
光蓮寺,〒827-0003,福岡県田川郡川崎町大字川崎２５３４
な・ひ・こ畑,〒827-0001,福岡県田川郡川崎町大字安真木5308-1
光蓮寺の菩提樹,〒827-0003,福岡県田川郡川崎町東川崎
金田ふれあいスポーツ公園,〒822-1202,福岡県田川郡福智町神崎
英彦山青年の家,〒824-0721,福岡県田川郡添田町英彦山
英彦山修験道館,〒824-0721,福岡県田川郡添田町英彦山
英彦山自然研究路,〒824-0601,福岡県田川郡添田町
英彦山野営場,〒824-0721,福岡県田川郡添田町大字英彦山
梵字ケ岩,〒824-0721,福岡県田川郡添田町英彦山
磨崖仏,〒824-0721,福岡県田川郡添田町英彦山
旧亀石坊庭園,〒824-0721,福岡県田川郡添田町英彦山
玉屋神社,〒824-0721,福岡県田川郡添田町英彦山
高住神社,〒824-0721,福岡県田川郡添田町英彦山
財蔵坊,〒824-0721,福岡県田川郡添田町英彦山
岩石城,〒824-0602,福岡県田川郡添田町大字添田1788-2
旧数山家住宅,〒824-0411,福岡県田川郡添田町津野
中島家住宅,〒824-0602,福岡県田川郡添田町下町
英彦山の宿坊,〒824-0601,福岡県田川郡添田町
英彦山の菩提樹,〒824-0721,福岡県田川郡添田町大字英彦山
霧氷,〒824-0721,福岡県田川郡添田町英彦山
龍門峡,〒824-0601,福岡県田川郡添田町
深倉峡,〒824-0601,福岡県田川郡添田町
陣屋ダム湖,〒824-0603,福岡県田川郡添田町中元寺
油木ダム湖,〒824-0601,福岡県田川郡添田町
岳滅鬼山,〒824-0602,福岡県田川郡添田町／大分県日田市
道の駅香春 物産直売所 わぎえの里,〒822-1402,福岡県田川郡香春町鏡山１８７０番地1
香春神社,〒822-1401,福岡県田川郡香春町大字香春（新町）
神宮院の梅,〒822-1401,福岡県田川郡香春町殿町
福岡サンレイクゴルフ倶楽部,〒839-0225,福岡県みやま市高田町上楠田1519-2
高田濃施山公園キャンプ場,〒839-0221,福岡県みやま市高田町下楠田480
高田濃施山公園,〒839-0221,福岡県みやま市高田町下楠田480
石神山古墳,〒839-0225,福岡県みやま市高田町上楠田
新開村旧てい記碑,〒839-0203,福岡県みやま市高田町黒崎開
共和園（みかん園）,〒835-0101,福岡県みやま市山川町立山1257
高畑公園,〒832-0826,福岡県柳川市三橋町高畑325番地2
Ｙｏｕ・遊の森公園,〒832-0806,福岡県柳川市三橋町柳河1020番地1
立花いこいの森,〒832-0811,福岡県柳川市三橋町中山547番地1
島田天満宮,〒832-0815,福岡県柳川市三橋町白鳥島田
高畑公園の桜,〒832-0826,福岡県柳川市高畑323-1
雲龍の館,〒839-0253,福岡県柳川市大和町鷹ノ尾151-2
五百羅漢,〒835-0003,福岡県みやま市瀬高町本吉1119-1 清水寺
北原白秋歌碑,〒835-0003,福岡県みやま市瀬高町本吉1117-4 清水寺本坊庭園
女山神籠石,〒835-0005,福岡県みやま市瀬高町大草
金栗遺跡,〒835-0023,福岡県みやま市瀬高町小川
清水山ぼたん園,〒835-0003,福岡県みやま市瀬高町本吉
清水公園の桜,〒835-0003,福岡県みやま市瀬高町 清水山
清水山,〒835-0003,福岡県みやま市瀬高町本吉
森の工作館,〒834-0201,福岡県八女市星野村10874-1
古陶星野焼展示館,〒834-0201,福岡県八女市星野村千々谷11865-1
いもほりむら,〒834-0201,福岡県八女市星野村10874-1
池の山キャンプ場,〒834-0201,福岡県八女市星野村10874-1
大円寺,〒834-0201,福岡県八女市土穴
桁山カヤの木,〒834-0201,福岡県八女市桁山
室山神社の大杉,〒834-0201,福岡県八女市星野村室山
麻生池,〒834-0201,福岡県八女市星野村麻生
石割岳,〒834-0201,福岡県八女市尾払
八女津媛神社浮立館,〒834-1401,福岡県八女市神ノ窟
お茶作りフォーラム,〒834-1401,福岡県八女市矢部村北矢部4236
フォレスト花みずき,〒834-1401,福岡県八女市御側
大杣キャンプ場,〒834-1401,福岡県八女市矢部村北矢部字御側
奥の院キャンプ場,〒834-1402,福岡県八女市矢部村北矢部字八知山
奥日向神キャンプ場,〒834-1401,福岡県八女市矢部村北矢部字日向神
足掛地蔵尊,〒834-1401,福岡県八女市矢部村北矢部コズミトコ
矢部川源流公園,〒834-1401,福岡県八女市矢部村北矢部鬼塚
八女津媛神社の紅葉,〒834-1401,福岡県八女市神ノ窟
八ッ滝の紅葉,〒834-1401,福岡県八女市本川内
大杣公園のつつじ,〒834-1401,福岡県八女市御側 大杣公園
日向神ダム周辺の桜,〒834-1401,福岡県八女市矢部村日向神
大杣公園のシャクナゲ,〒834-1401,福岡県八女市御側
日向神峡の紅葉,〒834-1401,福岡県八女市
日向神峡（蹴洞岩）,〒834-1401,福岡県八女市矢部村日向神
御前岳,〒834-1401,福岡県八女市矢部村北矢部
広川町産業展示会館,〒834-0111,福岡県八女郡広川町大字日吉１１６４-６
広川町古墳公園資料館こふんピア広川,〒834-0122,福岡県八女郡広川町大字一條1436-2
農園（イチゴ狩り）,〒834-0104,福岡県八女郡広川町大字吉常15-3-2
久留米カントリークラブ,〒834-0105,福岡県八女郡広川町長延1243-1
筑後の森テニスクラブ,〒834-0115,福岡県八女郡広川町大字新代
逆瀬谷薬師堂,〒834-0102,福岡県八女郡広川町水原
竜光寺公園,〒834-0111,福岡県八女郡広川町大字日吉
グリートパーク,〒834-0111,福岡県八女郡広川町大字日吉
石人山古墳,〒834-0122,福岡県八女郡広川町一条
弘化谷古墳,〒834-0121,福岡県八女郡広川町大字広川
広川町協会,〒834-0111,福岡県八女郡広川町大字日吉1164-6
立花バンブー株式会社,〒834-0082,福岡県八女市立花町兼松752-1
大道谷の里,〒834-0084,福岡県八女市立花町白木4578-1
Dokomo田中さんちの農園,〒834-0084,福岡県八女市立花町白木4346-2
飛形自然公園,〒834-0084,福岡県八女市立花町白木地内
黒岩橋,〒834-0083,福岡県八女市立花町上辺春黒岩
白城の里旧大内邸,〒834-0084,福岡県八女市立花町白木3245番地
松延家住宅,〒834-0082,福岡県八女市立花町兼松240
ほたると石橋の館,〒834-1102,福岡県八女市上陽町北川内589-2
八女上陽ゴルフ倶楽部,〒834-1102,福岡県八女市上陽町北川内2914-1
大伴部博麻公碑,〒834-0001,福岡県八女市室園（北川内公園内）
北川内公園,〒834-0001,福岡県八女市室園
春の山公園,〒834-1102,福岡県八女市上陽町北川内
洗玉橋,〒834-0001,福岡県八女市星野川
星野川,〒834-1102,福岡県八女市上陽町北川内
滝の宮（縁結び不動尊）,〒834-0001,福岡県八女市上陽町納又
お茶の里記念館,〒834-1222,福岡県八女市黒木町笠原
木造聖観音立像,〒834-1203,福岡県八女市黒木町北木屋
八女茶発祥の地お茶の里公園,〒834-1222,福岡県八女市黒木町笠原
霊巌寺,〒834-1222,福岡県八女市黒木町笠原
黒木稲荷神社,〒834-1221,福岡県八女市黒木町今
明治の館,〒834-1204,福岡県八女市黒木町木屋
旧伊佐邸,〒834-1204,福岡県八女市黒木町木屋
学びの館,〒834-1221,福岡県八女市黒木町今
霊巌寺の奇岩,〒834-1222,福岡県八女市黒木町笠原
日向神渓谷,〒834-1202,福岡県八女市黒木町大渕
黒木町協会,〒834-1292,福岡県八女市黒木町今1314番1（八女市役所黒木総合支所産業経済課内）
十連寺公園,〒830-0112,福岡県久留米市三潴町西牟田6557-44
みづまの黒松,〒830-0111,福岡県久留米市
クリークの里石丸山公園,〒830-0416,福岡県三潴郡大木町大字大角
城島リバーサイドゴルフ場,〒830-0203,福岡県久留米市城島町大字浜293
酒造壁画,〒830-0211,福岡県久留米市城島町楢津764（町民の森公園）
法林寺宝篋印塔,〒830-0225,福岡県久留米市城島町下青木542
西光寺の木造阿弥陀三尊像,〒830-1211,福岡県三井郡大刀洗町本郷
床島堰,〒830-1203,福岡県三井郡大刀洗町三川
大刀洗公園,〒830-1226,福岡県三井郡大刀洗町山隈1598-5
大堰神社,〒830-1201,福岡県三井郡大刀洗町冨多
三原城址,〒830-1211,福岡県三井郡大刀洗町本郷
