北侍浜キャンプ場,〒028-7801　岩手県久慈市侍浜町観光,侍浜海岸は久慈市の北方，陸中海岸国立公園の最北端にあたる海岸で，南北１０ｋｍにわたって１００ｍを越す豪壮な断崖と海食棚が連なっている。国民宿舎の“北限閣”を基点に南北に約５ｋｍに及ぶ遊歩道が赤松林の中に作られ，見事な展望が楽しめる。北限閣の北５００ｍにはキャンプ場と岩場を利用した海水プールがある。
久慈海岸・つりがね洞,〒028-8111　岩手県久慈市長内町観光,北部陸中海岸の代表的な景勝地で、日本最古の地層を有する断崖と岩礁が続く海岸。大小さまざまの小島が浮かぶなかでも、ひときわ目をひく「つりがね洞」は、大きなほら穴があり、その天井から釣り鐘型の岩（明治２９年の大津波で破壊）がぶらさがっていたことから、この呼び名がついたといわれております。トンネルを挟んで反対側には奇岩「かぶと岩」も名物となっています。
北限の海女,〒028-8111　岩手県久慈市宇部町観光,小袖海岸は久慈港の東南方，玉ノ脇から小袖におけての海岸で，海食断崖と岩礁の景勝が連なる。小袖浜では海女によるウニの採集漁業が行われており，日本北限の海女として知られる。小袖集落は特に有名で，夏期には海女作業の実演を見ることもできる。
巽山公園,〒028-0056　岩手県久慈市中町1-48観光,市民の憩いの場。2011年春に複合遊具が完成し子供たちに大人気！桜の季節には夜間ライトアップされた美しい桜を楽しめます。
横沼展望台,〒028-7801　岩手県久慈市侍浜町観光,横沼展望台のある侍浜海岸は、久慈市の北方・陸中海岸国立公園の最北端にあたる海岸で，南北１０ｋｍにわたって１００ｍを越す豪壮な断崖と海食棚が連なっている。「侍の湯　きのこ屋」を基点に南北に約５ｋｍに及ぶ遊歩道が赤松林の中に作られ，見事な展望が楽しめる。きのこ屋の北５００ｍにはキャンプ場と岩場を利用した海水プールがある。
久慈市観光案内所,〒028-0061　岩手県久慈市中央3-38-2 三陸鉄道久慈駅内観光,観光案内、宿泊施設案内　等
駅レンタカー北上営業所,〒024-0061　岩手県北上市観光,西口駅前広場駐車場内
トヨタレンタリース岩手　北上駅新幹線東口店,〒024-0061　岩手県北上市川岸1-3-1観光,すべての基本情報を見る
夏油高原温泉,〒024-0322　岩手県北上市和賀町岩崎新田観光,夏油高原スキー場に併設した温泉。展望露天風呂からはオガラ森や前塚見山、北上市内を一望できます。外窓のある遠赤外線サウナは、気持ちよく体を温めてくれます。
瀬峯坂温泉 宝珠の湯,〒024-0321　岩手県北上市和賀町岩崎2-3-1観光,浴槽はとても開放的で温泉につかりながら風情ある庭園を眺めることができ、ゆったりとくつろげる空間になっています。別料金で個室５室（日帰りのみ）があります。家族風呂も利用することができます。団体送迎は、10名以上から受付しています。
入畑温泉,〒024-0322　岩手県北上市和賀町岩崎新田1-3-1観光,入畑ダムの下流瀬目渓谷に自噴する温泉は、神経痛や関節痛などに効果があります。雄大なダムや緑に囲まれた大自然の眺めは最高です。（客室からインターネットへ接続可能です）
夏油温泉,〒024-0322　岩手県北上市和賀町岩崎新田観光,夏油温泉は、栗駒国定公園の北端、ブナの原生林に囲まれた夏油渓谷に臨む奥深い秘湯です。温泉の発見と利用の歴史は古く、江戸時代の効能書に「南部藩随一の名湯」と記され、当時江戸や京都で発行した温泉番付では、は西の大関紀州の本宮温泉と並んで東の大関と最高位にランクされました。現在も「全国名湯百選」の１つになっています。発見の由来については、経塚山に万徳寺を建立した慈覚大師が斉衡３年（856年）に発見したと記されており、夏油山中には慈覚大師にまつわる伝説が多く伝えられています。しかし一方では、永和元年（1375年）平家の落人の末裔であるマタギの高橋四郎左エ門が深傷を負わせた大白猿を追ったところ、湯浴している白猿を見つけ、それが夏油温泉の発見だとも言われます。　また、夏油温泉という名の由来は、アイヌ語の「グット・オ」（崖のある所の意）から来ているとか、冬の豪雪で利用できなくなるため夏の湯「夏湯」と言われ、お湯が夏の日差しでゆらゆらと油のように見えたので後に「湯」が「油」になって現在の「夏油」になったとか言われていますが、判然とはしません。
利根山光人記念美術館,〒024-0043　岩手県北上市立花15-153-2観光,利根山光人は、1921年、茨城県生まれ。メキシコを題材とした情熱的な作品を数多く残す画家です。みちのくの民俗芸能に惹かれ、昭和50年に北上市にアトリエを構え、鹿踊りや鬼剣舞の躍動感あふれる絵画を発表しました。没後、アトリエを記念館として残し、民俗芸能をモチーフとした作品を中心に展示しています。
サトウハチロー記念館,〒024-0043　岩手県北上市立花13-67-3観光,サトウハチローは、1903年、東京生まれ。童話集『叱られ坊主』で文部大臣賞を受賞しました。父は弘前、母は仙台の出身で「ボクの血の中には東北のものが流れているから、田舎の詩を書くのに何の苦労もしない」と言っていました。童謡「うれしいひなまつり」や「かわいいかくれんぼ」、流行歌「リンゴの歌」などの作詞のほか、生涯の作品は約２万編にものぼると言われます。著書やレコード・遺品を通して、作品世界に溢れ出る温かな人柄と、奔放な生き方に迫ります。
北上カントリークラブ,〒024-0323　岩手県北上市和賀町煤孫1地割観光,すべての基本情報を見る
和賀川ふれあい広場,〒024-0058　岩手県北上市下鬼柳観光,ふれあい広場、スポーツゾーン、ネイチャーゾーンからなり、テニスコート３面、多目的広場、野球場、ヤナ場などの施設があります。　霧、滝、雨、川をイメージした噴水広場、アジサイ園、ハス池などがあり、家族連れにも人気のスポットとなっています。
立花毘沙門堂,〒024-0043　岩手県北上市立花16-105観光,国見山極楽寺文化を物語る平安時代の仏教彫刻、木造毘沙門天立像と木造二天王立像（いずれも国指定重要文化財）を安置しています。特に二天王は古像の遺品に乏しい東北地方におけるこの期の造像として注目されています。見学は事前に連絡が必要です。
入畑ダム展望広場,〒024-0322　岩手県北上市和賀町岩崎新田観光,展望広場に上がると、ダム周辺と北上平野を一望することができ、南西の方角には駒ヶ岳を見ることができます。新緑の季節にはダムの湖面がエメラルドグリーンに輝いて素晴らしい眺望が楽しめます。
男山展望台,〒024-0041　岩手県北上市稲瀬町観光,頂上近くまで車で登れるので、手軽に北上平野の展望を楽しむことができます。頂上には「やすらぎの像」が立ち、奥羽山脈を背景にした北上盆地、そして眼下には北上川と和賀川が合流する大パノラマが一望できます。
悠の湯　風の季,〒025-0244　岩手県花巻市湯口松原36-3観光,シックで落ち着いた雰囲気が、くつろぎの世界へと誘います。春夏秋冬、季節の移り変わりは美しく、源泉掛け流し温泉をゆったりとお楽しみください。
ひまわり温泉　ぎんがの湯,〒028-3182　岩手県花巻市石鳥谷町松林寺3-81-10観光,効能豊かなアルカリ性高温泉は、マイナスイオンがいっぱいの琥珀色。自慢のウォーターベッドマッサージも魅力の日帰り温泉。
金矢温泉,〒025-0321　岩手県花巻市金矢5-251-1観光,遊歩道やアスレチック公園，運動広場，テニスコート，9ホールのゴルフゾーンがある広大な花巻広域公園内に位置する温泉。
鉛温泉　藤三旅館,〒025-0252　岩手県花巻市鉛字中平75-1観光,大沢温泉の奥、豊沢川が窓の下を流れる閑静な温泉。南部藩主もお気に入りだったといわれ、田宮虎彦の小説「銀心中」の舞台にもなったところ。立って入る白猿ノ湯は人気があり、深いところで1.25ｍはある。豊沢川の上流300ｍには新鉛温泉がある。また、近くの鉛温泉スキー場は初心者から上級者まで楽しめるスキー場として人気がある。
賢治の教室（宮沢賢治童話村）,〒025-0014　岩手県花巻市高松26-19観光,賢治童話に登場する「植物」「動物」「星」「鳥」をテーマ別に展示し、ワークショップも楽しめる。
花巻新渡戸記念館,〒025-0014　岩手県花巻市高松9-21観光,藩政時代220年あまりにわたって花巻に居住し，新田開発等の地域開発に貢献した新渡戸氏の業績を紹介している。
高村光太郎記念館　高村山荘,〒025-0037　岩手県花巻市太田3-85-1観光,高村光太郎記念館には十和田湖の「裸婦像」の原型、「大地麗(うるわし)」の書、妻智恵子の切り絵など約150 点が展示されています。山荘は套屋(とうおく)によって保護されていますが、これは光太郎を敬慕する村人たちが一本一本持ち寄った木で建てられたものです。なお、高村山荘の西手には湧水「智恵子の泉」があり、山手後方にある小高い丘は光太郎が好んで散策した智恵子展望台です。
志戸平温泉プール アクアランド PALPAL,〒025-0244　岩手県花巻市湯口字志戸平27-1観光,すべての基本情報を見る
花巻広域公園,〒025-0321　岩手県花巻市金矢5-252-1観光,広場，池，展望台，テニスコート，運動広場，駐車場等，ゴルフ場
清水寺,〒025-0037　岩手県花巻市太田21-5-1観光,坂上田村麻呂が建立したと伝える。日本三清水の一つ。
花巻城鐘つき堂,岩手県花巻市,すべての基本情報を見る
花巻城址,〒025-0076　岩手県花巻市城内観光,南部藩の家老北松斎の居城。円城寺門と西御門・時鐘が面影を伝える。
早池峰と賢治の展示館,〒028-3203　岩手県花巻市大迫町大迫3-161 大迫交流活性化センター敷地内観光,平成19年10月1日にオープンにした展示館は、軽便鉄道鳥谷崎駅前にあった旧稗貫郡役所を復元したもので、寓話「猫の事務所」のモデルではないかと言われている建物。館内には早池峰と賢治にかかわる作品紹介、賢治が常宿としていた旧石川旅館の部屋再現、風の又三郎の舞台ともいわれる猫山のモリブデン鉱石など興味深い展示があります。
円城寺門,〒025-0076　岩手県花巻市城内7-28観光,鳥谷崎神社境内にあり，花巻城唯一の現存建築物。
薄衣の滝,岩手県花巻市湯口字天王観光,高さ20ｍ、幅7ｍの薄い布を垂れかけた様な滝。
花巻観光案内所,〒025-0092　岩手県花巻市大通り1-1-46 JR花巻駅観光,観光案内，宿泊施設等の案内
花巻観光センター,〒025-0011　岩手県花巻市矢沢10-87-7 新花巻駅内観光,観光案内・宿泊施設等の案内
薬師堂温泉,〒023-0003　岩手県奥州市水沢区佐倉河字薬師堂27観光,神経痛、冷え症、慢性皮膚病、慢性婦人病に効く。
奥州市埋蔵文化財調査センター,〒023-0003　岩手県奥州市水沢区佐倉河字九蔵田96-1観光,胆沢城跡の外郭南門のすぐそばに位置し、埋蔵文化財の調査、研究、資料の整理・収蔵・展示などが行なわれている施設。展示コーナーでは、『胆沢城と古代東北蝦夷の世界』をテーマに、古代の薫りを漂わせる出土品が詳しく紹介されている。また、「歴史＆考古学クイズ」や、大型スクリーンによる解説ビデオなどにより、古代東北の息吹を体感することができる。
駒形神社,〒023-0857　岩手県奥州市水沢区中上野町1-83観光,駒ヶ岳に奥宮がある。子供騎馬武者行列は5月3日。予約不要。
胆沢城跡,〒023-0003　岩手県奥州市水沢区佐倉河字宮ノ内地内観光,征夷大将軍坂上田村麻呂が延暦２１年（８０２）に築き、それまで多賀城に置かれていた鎮守府を移す。以来、陸奥における軍事的拠点となる。２００年後，前九年の役が起こったとき、源頼義が鎮守府将軍として入城している。◎坂上田村麻呂（７５８-８１１）平安朝初期の武将。わが国最初の征夷大将軍となり、蝦夷征討に武功を示す。
吉小路・新小路・日高小路・大畑小路,〒023-0807　岩手県奥州市観光,過去における水沢の地は、安永年代の書上によると、侍３８４軒、足軽１１１軒、町家は６町計３７４軒が城下に集住していた。何度も火事があったので旧時の面影はなくなってしまったが、侍屋敷は日高小路・吉小路・新小路などに遺構が点在。長屋門・薬医門・棟門・貫門などの門構えも残存し、今も侍屋敷の家並みの雰囲気を残している。
水沢観光案内所(東北本線),〒023-0813　岩手県奥州市水沢区東大通1-1観光,観光案内・宿泊施設等の案内・レンタサイクルの貸出 等
さいとう製菓,〒022-0002　岩手県大船渡市大船渡町字富沢41-12観光,岩手県大船渡市のさいとう製菓では、銘菓「かもめの玉子」をはじめ、岩手県産の地元素材を使った和菓子・洋菓子を各種お菓子を取り揃えております。ネットショップからもお買い求めいただけます。岩手・三陸のすばらしい四季をお菓子を通して描くとともに、みなさまの心が 幸福に満たされるようなお菓子づくりを心がけてまいります。
碁石海岸穴通船,〒022-0001　岩手県大船渡市末崎町字大浜　恵比寿浜遊覧船のりば観光,小型漁船で雷岩、穴通磯など島々を巡る碁石海岸満喫クルージング。　外洋に面しているため、迫力満点の波しぶきが楽しめる。　船体がギリギリ通過できる穴通磯を、漁師熟練の腕ですり抜ける。穴をくぐれば運が開かれるとか！？漁師達の温かみある独特の「なまり」もまた良し！東日本大震災で船が流されたため、その後１年半以上もの間休業を余儀なくされましたが、全国の皆様のご支援のおかげで再開にこぎつけることができました。本当にありがとうございます。
夏虫のお湯っこ,〒022-0101　岩手県大船渡市三陸町越喜来字小出59-1観光,夏虫山の麓にある大自然に囲まれた日帰り人口温泉施設で、ゆっくりとした雰囲気でくつろぎの時間を味わうことができます。弱アルカリ性の人口温泉で、腰痛・肩こり・リウマチ・神経痛・疲労回復などの効能が望めます。浴室は、大浴場の他、ジェットバス、サウナ、泡風呂、スチームサウナ、薬湯などがあります。施設内には、マッサージを受けられる施設がある他、大評判の鹿カレーが食べられる食堂や、無料休憩室があります。宿泊施設の「遊・YOU・亭夏虫」と繋がっており宿泊もできることから、グランドゴルフやパラグライダー体験などのレジャーも気軽に楽しむことができます。
碁石海岸青少年キャンプ場,〒022-0001　岩手県大船渡市末崎町字大浜観光,碁石海岸青少年キャンプ場は、陸中海岸国立公園碁石海岸の中にあり、潮騒と漁火、そして緑に囲まれた閑静で自然豊かなキャンプ場です。碁石海岸の自然を親しんだり、遊歩道を散策し動植物と触れ合ったりと、遊び心が満たされる好立地。もちろん避暑地としても抜群のキャンプ場です。
フレアイランド尾崎岬,〒022-0007　岩手県大船渡市赤崎町字鳥沢188-7観光,南方には、世界三大漁場に面し、背後には豊かな緑と2500本の椿に囲まれた森林。対岸は国立公園碁石海岸の眺めが広がり、海と森が一度に満喫できるのが、ここフレアイランド尾崎岬です。簡単にバーベキューが楽しめるバーベキューハウスがあり、鍋やまな板もレンタルでき、３日前に予約すれば食材の注文も可能です。宿泊施設には木造ハンガローと和風コテージがあり、天体観測やバードウォッチングなどのアウトドアにも最適です。そして記の温かみを生かした遊具施設も充実しており、アウトドア初心者からお子様まで安心して利用できます。他にもさまざまな用途に合わせて楽しめる多目的ホール、ミーティングや研修に使えるコミュニティースペースも完備しています。
氷上山,〒029-2201　岩手県陸前高田市観光,ツツジ，ドウダンの群落有り。大船渡湾・広田半島の眺望絶景。
マリンコープＤＯＲＡ,〒027-0071　岩手県宮古市小山田2-2-1観光,大型ショッピングセンターとしてオープンした生協マリンコープＤＯＲＡ。店内には飲食店・美容室・宮古市唯一の映画館もある。
みやこ浄土ヶ浜遊覧船,〒027-0001　岩手県宮古市浄土ヶ浜日立浜町３２-６９観光,裏浄土ヶ浜，蛸の浜，ローソク岩，潮吹穴，姉ヶ崎など美しい海岸線を洋上から眺められる。船の周りを群れ飛ぶウミネコに，ウミネコパンを差し出すと器用にくわえて飛んで行くのも楽しい。
トヨタレンタリース岩手　宮古店,〒027-0021　岩手県宮古市藤原3-7-12観光,すべての基本情報を見る
シートピアなあど,〒027-0004　岩手県宮古市臨港通1-20観光,物産販売コーナーでは、特産品や魚介類、農産物を販売。
宮古港海戦記念碑,〒027-0001　岩手県宮古市浄土ケ浜観光,日本海戦史で初めての洋式海戦といわれる「宮古港海戦」の記念碑。旧幕府軍と新幕府軍との間に繰り広げられた戦いをしのび，明治100年にあたる1968年に浄土ヶ浜御台場展望台入り口に建てられた。
潮吹穴,〒027-0096　岩手県宮古市崎秋ヶ崎第17地割古里27番観光,崎山海岸にあり，白亜紀の岩層の空洞より海水が噴き上がる。昭和14年9月に国の天然記念物に指定されました。指定：昭和14年9月7日・国指定天然記念物。
トドヶ崎,〒027-0096　岩手県宮古市重茂第9地割大平観光,重茂半島の東端，本州最東端の岬。直立する断崖と太平洋の荒波が豪壮な景観を展開。先端に灯台がある。東経142度4分21秒。この度の東日本大震災の影響により、北側からのルートである与奈〜種差海岸〜トドヶ埼灯台間の遊歩道が利用できなくなっております。
トヨタレンタリース岩手　盛岡駅南口店,〒020-0033　岩手県盛岡市盛岡駅前通3-40観光,すべての基本情報を見る
岩山パークランド,〒020-0803　岩手県盛岡市新庄岩山50観光,岩山公園内にあるファミリー向けの遊園地で，観覧車からは雄大なパノラマが楽しめるスピンコースターやアポロなどの絶叫マシーンや、サイクルモノレール・ゴーカートなど多くの遊戯施設を備えている。夏季はナイター営業も。
（株）あさ開,〒020-0828　岩手県盛岡市大慈寺町10-34観光,明治４年創業。水のきれいな街盛岡ならではのおいしい地酒ができるまでの工程の見学が可能。館内見学ツアーにはガイドがつき案内してくれる。
盛岡市子ども科学館,〒020-0866　岩手県盛岡市本宮字蛇屋敷13-1観光,展示室、実験室、工作室、プラネタリウム。子ども達が見たり触れたりして遊びの中から科学に興味を持ち、探究心を養える施設。テーマ別の展示室や、星座の生解説などのプラネタリウムは大人気。科学工作教室や、サイエンスショー、ワークショップも開催されます。
原敬記念館,〒020-0866　岩手県盛岡市本宮4丁目38-25観光,大正時代、平民宰相として活躍した盛岡出身の政治家原敬を記念して、盛岡市の西方郊外にある原敬生家の横に建てられた。コンクリート造の館内には，原敬の日記・手紙や著書が展示されており，大正10年11月4日、凶刃に倒れた際の着衣など約400点が展示されている。生家は茅葺の落ち着いた家で，敷地内には鎌倉の腰越別荘の書斎が移築復元されている。
岩手県営スケート場,〒020-0122　岩手県盛岡市みたけ5-9-1観光,すべての基本情報を見る
盛岡市アイスアリーナ,〒020-0866　岩手県盛岡市本宮5丁目4-1観光,すべての基本情報を見る
盛岡市立太田スポーツセンターキャンプ場,〒020-0053　岩手県盛岡市上太田穴口4-3観光,盛岡市内にあるキャンプ場で，近くには温泉や神社，北方には小岩井農場があります。テニスコートのほか、子供広場、芝生広場ではグランドゴルフ、アーチェリーなどが出来ます。
上の橋擬宝珠,〒020-0887　岩手県盛岡市上ノ橋町観光,上の橋は、慶長14年（1609）に第27代藩主南部利直（なんぶとしなお）が、 盛岡城築城時に中津川に架けました。擬宝珠（ぎぼうしゅ・ぎぼし）を取り付けたのは、 1336年（延元元年）後村上天皇より恩賞として京都鴨川橋の擬宝珠の使用が許された故事によると伝えられています。慶長14年のものが8個、慶長16年のものが10個、合計18個が取り付けられています。この擬宝珠は、1945年（昭和20）に軍の金属供出になるところを、実業家でかつ郷土史に造詣の深かった太田孝太郎（1881〜1967）の尽力で、急きょ国の重要美術品に指定され、危うく難を免れました。その擬宝珠も、 400年近く経過して腐食が進み、小さな穴にコムクドリが巣をつくり、文化財保護か野鳥保護かとマスコミをにぎわしたこともあります。橋の擬宝珠で記念銘があり、制作年代も古く、残存個数が多いという点で、盛岡市の青銅擬宝珠は国内でもまれな存在です。現在の橋自体は、何回かの流失を繰り返し、昭和になってかけかえられたものです。
報恩寺五百羅漢,〒020-0016　岩手県盛岡市名須川町31-15観光,報恩寺（ほうおんじ）は広大な座禅堂と五百羅漢（ごひゃくらかん）で藩政時代から有名です。 石川啄木がまだ盛岡中学の学生だったころ、この北山一帯の風光をこよなく愛し、級友とよく散策したといわれます。詩集「あこがれ」の中の「落瓦の賦」は報恩寺をうたったものです。また、 宮沢賢治は 盛岡高等農林学校時代に報恩寺で参禅したりしています。五百羅漢は報恩寺の羅漢堂に納められた尊像で、499体が現存しています。これらの像は、胎内の墨書銘から、1731年（享保16）、報恩寺代17世和尚が、大願主として造立、4年後に完成したことが分かっています。尊像は京都で9人の仏師によって製作され、盛岡に運んだ輸送用の箱は台座として再利用されました。五百羅漢の五百という数字は、多数という意味で、それぞれの尊者に名はなく、服装からは印度・西域・支那の僧の風貌・容姿が連想され、マルコ・ポーロやフビライ・ハンの像といわれるようになった像もあります。五百羅漢の現存は全国で50例ほど確認されていますが、木彫りで499体が現存し、造立年代、尊像の製作者まで明確に知り得るのは、全国的にもまれな例といえます。
米内光政の墓,〒020-0874　岩手県盛岡市南大通三丁目11-49観光,米内光政（よないみつまさ）は盛岡出身の海軍大臣・首相です。盛岡中学卒業後、海軍兵学校、海軍大学校へと進みました。連合艦隊指令長官などを経て、太平洋戦争を前にした昭和12年から海軍大臣、同15年から半年間総理大臣を歴任し、この間日独伊三国同盟締結に一貫して反対し続けます。同19年に海軍大臣に復帰して太平洋戦争を終結に導きました。沈着にして的確な判断力と一方に偏らないその姿勢は、閣内で重きをなし、「良識の提督」として多くの信望を集めました。光政の生涯は一貫して天皇の海軍を預かる天皇の軍人といってもいいほどでした。相沢中佐事件、2・26事件などで、若手将校を微動だにさせなかったのは、彼の人徳と実力を現しています。彼は日本海軍を侵攻用と考えず、防衛用と考えました。戦前・戦後を通じ政治に関与しながらも、軍人としての名声を保持している数少ない人物であり、能筆でも知られています。
志波城古代公園,〒020-0855　岩手県盛岡市上鹿妻五兵衛新田48-1観光,平安時代初め（803年）に築城された志波城跡の外郭南門や築地塀を復元して公開しています。歴史上中央政府が築いた日本最北の城は古代の志波城といわれています。盛岡が日本北限の築城の地に選ばれたのは、当時米作の北限が盛岡だと考えられていたからだと思われます。志波城跡の南辺に約1200年前に築城されたときの姿が復元され、中央に配した南門は間口15メートル、奥行き6メートル、高さ11.1メートルあり、平城宮跡朱雀門（奈良市）に次ぐ大規模な門です。その両側それぞれ126 メートルに土を層状に固めた築地塀をめぐらしており、塀の上には櫓（やぐら）を組んでいます。
岩手県営運動公園,〒020-0122　岩手県盛岡市みたけ1-10-1観光,陸上競技場，野球場，ラグビー・サッカー場，テニスコート等のある総合運動公園。登はん競技場や日本庭園、児童遊園、交通公園なども完備しており、家族連れでも楽しめる。
一ノ倉邸,〒020-0126　岩手県盛岡市安倍館19-64観光,盛岡市指定保護庭園。明治40年頃盛岡市出身の政治家阿部浩（貴族院議員、東京府知事）により建設されました。その後、一の倉氏に譲渡され、平成4年に盛岡市が取得したもので、今も往時の面影をしのばせてくれます。敷地面積は約2600坪もあり、約145坪の木造平屋造、数寄屋風の建物には大小もの和室に加え、畳敷きの玄関や廊下等があり、畳数は140畳に及びます。また、欄間などの材料も吟味されていて、当時のしっかりした造りが伺われます。庭園は明治35年頃、東京から庭師を招いて造ったといわれ、現在は水が枯れていますが３つの中島を持つかなり大きな池が中心にあり、一帯に築山を配した回遊式庭園です。京都から移植されたという樹齢100年以上のモミジ類が主体で、これにアカマツなどの針葉樹が加わり、作庭の意図をうかがい知ることができます。
盛岡市中央公民館御薬園,〒020-0013　岩手県盛岡市愛宕町14-1観光,盛岡市中央公民館のある場所は、江戸前期に盛岡城で使用する薬草を栽培していたため「御薬園」と呼ばれていた。そのあと、御薬園は廃止され、御殿・御茶屋・能舞台などが造営され、奇岩・珍木を集めた大規模な庭園が造られた。裏山の愛宕山には京都高雄の楓を植え、山腹には毘沙門・山王・観音堂を祀り、「下小路御屋敷」として代々藩公の別荘、遊歩地となっていた。江戸後期には藩校「明義堂」の講義所を設置し、藩士の子弟に経学・医学などを講義する教育の場にもなった。明治維新の変革によって、これらの建物・庭園は取り壊され、現在の木造の建物と庭園は、南部伯爵家別邸として明治41年（1908）に新築造園されたものである。明治30年（1955）以降、別邸は盛岡市の公民館施設として使用され、昭和55年中央公民館建設の際、建物の一部を残し増改築、現在に至る。
三ツ石神社,〒020-0016　岩手県盛岡市名須川町2-1,名須川町の東顕寺の裏に、注連縄(しめなわ)が張られた３個の苔むした大石があります。いつの頃からか「三ツ石様」と呼ばれ人々の信仰を集めていました。その頃、盛岡城下には羅刹(らせつ)という鬼がいて、その悪行に苦しめられていた人々が、この三ツ石神社に祈願したところ見事鬼は退治されたといいます。その時、二度と悪さをしない、もうここには来ないという証として、鬼に手形を押させたのがこの三ツ石であり、「岩手」の地名伝説になっています。
光台寺,〒020-0016　岩手県盛岡市名須川町8-4観光,市指定文化財の盛岡城下絵屏風が所蔵されてる。また、むかで姫の墓もある。（その伝説は以下のとおりです。）※昔、於武（おたけ）の方は、先祖がむかで退治に使った矢の根を持って、 南部家27代利直公に嫁いできました。 於武の方が亡くなったとき、遺体の下の変色した形が、むかでのはいまわる姿に似ていたことから、 「於武の方が持ってきた、むかでを退治した矢の根石の怨念にちがいない」と人々は驚き恐れました。この奇怪な出来事に利直公は、むかでは水を嫌うことから、堀をめぐらした土手の上に、 石垣でかこまれた墓の建立を命じました。ところが、堀にかこまれた墓地に見事な橋が架けられ、 殿様の渡り初めを待つ夜に、不思議なことに一夜のうちにその橋が壊され、大騒ぎとなりました。 その後、何度橋を架けても、むかでが出て壊してしまいました。 於武の方の墓には、大小のむかでが無数に出て、於武の方の髪の毛が片目の蛇となって石垣の間からはいまわり、 墓守は石の間に鉛を流し込んで防いだともいわれています。人々は、これらの出来事は矢の根石にまつわるむかでの怨霊のせいだと噂し、いつしか於武の方をむかで姫、 墓地を「むかで姫の墓」と呼ぶようになりました。
桜山神社,〒020-0023　岩手県盛岡市内丸1-42観光,社殿が盛岡城三の丸跡にあり、江戸時代中期の寛延２年に創建され南部藩の総鎮守として信仰されました。国の重要文化財に指定される南北朝時代初期の国長作の刀が所蔵されています。毎年５月２５日から３日間行われる例大祭では、お神輿が騎馬武者に先導されて盛岡市内を練り歩き境内には多くの出店が立ち並びます。また、１月２６日に開催される伝統行事裸参りは盛岡の冬の風物詩として有名です。
大慈寺,〒020-0828　岩手県盛岡市大慈寺町5-6観光,"寛文１３年（１６７３）の創建。明治１７年の大火で焼失したが、平民宰相・原敬の寄進建立で現在に至る。 大慈寺の境内には、大正１１年東京駅で一青年の凶刃に倒れた原敬が、その遺言により眠っている。　また、盛岡ならではの送り盆行事「舟っこ流し」発祥の寺院。　大慈寺では「普茶料理」と呼ばれる山草野菜を材料とした素朴な精進料理（中国風の素朴な味は見た目にたいへん美しく、先人から授かった医食同源の知恵を継承）を食することも可能だが、 その場合は事前予約（12名以上70名位まで、1人7,000円から）が必要。"
東顕寺,〒020-0016　岩手県盛岡市名須川町2-1観光,盛岡市に現在ある寺院の中では、最も歴史が古いと伝えられている。本尊は釈迦牟尼仏で、三尊仏は京都大仏師・駒野丹下定正の作で、唐様の三尊仏は珍しい。　裏側に三ツ石神社という、三個の巨大な花崗岩の岩が立ち並ぶ神社があり、その三ツ石に「岩手」の名のおこりの鬼の手形がある。また、文化講座の開催や釈迦降誕会法要、舟っこ流し行事もあり24時間のテレフォン法話も行っている。
盛岡八幡宮,〒020-0872　岩手県盛岡市八幡町13-1観光,南部藩鎮守。八幡宮例大祭では山車の巡行や流鏑馬が有名、境内には米内光政像、田村了咲句碑などがあります。南部氏は、もともと八幡神を氏神と仰ぐ家柄でした。今から約800年ほど昔に南部の藩祖である南部光行公が、 居城を三戸から不来方に移す際に、不来方の豪族である日戸氏が代々信仰していた鳩森八幡宮を修復し、 この地方の守護神として城内におまつりし、氏神と仰ぎました。城内の八幡社を藩主が篤く信奉することから、城下の民衆も自然に八幡神を崇敬するようになりました。 そのため、新たに崇敬の中心となるべき八幡神社の造営が必要とされ、 寛文11年に南部29代重信公が、商業の流通を図るために、町の中心部を整え、 新八幡宮の造営に着手しました。約1万5千坪の広大な境内地を定めて寛文11年に着手された造営工事は約8ヵ年を要し、 延宝8年にご本殿を始め、流鏑馬（やぶさめ）馬場等の主な建物や施設が整いました。 新八幡宮造営にあわせて、門前の町づくりにも着手し、その竣工と同時に門前町である八幡町が完成しました。 八幡町は、盛岡八幡宮の歴史とともに発展し現在に至っています。
志波城跡,〒020-0855　岩手県盛岡市上鹿妻五兵衛新田48-1観光,陸奥国最北端の古代城柵。志波城跡の南辺に約1200年前に築城された時の姿が復元され、中央に配した南門は門口15m、奥行6m、高さ11.1mあり、平城宮跡朱雀門に次ぐ大規模な門。その両側それぞれ126mに土を層状に固めた築地堀をめぐらしており、堀の上にはやぐらを組んでいる。
岩手大学ミュージアム,〒020-0066　岩手県盛岡市上田三丁目18-8観光,ミュージアム本館、農業教育資料館、獣医学科標本室、植物園、自然観察園があり、これまでの研究業績等をはじめ、宮沢賢治ゆかりの資料の見学もできる。解説ボランティアの説明をうけながらの見学も可能。農業教育資料館は国の重要文化財の指定を受けている。※獣医学科標本室の開設ボランティアによる説明は要予約。
